apt_name,address,build_year,total_households,total_floor_area,prop_under_60,prop_60_to_85,prop_85_to_135,prop_over_135,latitude,longitude
개포주공1단지,서울특별시 강남구 개포로 310,1982,5040,240629.0,98.7,1.3,0.0,0.0,37.4800022,127.0585214
올림픽선수기자촌아파트,서울특별시 송파구 양재대로 1218,1988,5540,854994.0,0.0,36.7,49.2,14.0,37.5179148,127.1361039
반포미도2차,서울특별시 서초구 사평대로 240,1989,435,41174.0,13.8,86.2,0.0,0.0,37.5023578,127.0075124
잠실5단지아파트,서울특별시 송파구 송파대로 567,1978,3930,455033.0,0.0,100.0,0.0,0.0,37.5143691,127.093004
신반포22,서울특별시 서초구 잠원로 86,1983,132,16.0,0.0,0.0,100.0,0.0,37.5124574,127.0079051
사당신동아4단지,서울특별시 동작구 동작대로29길 110,1993,912,91646.0,51.0,22.7,26.3,0.0,37.4886826,126.9764363
독산주공14단지,서울특별시 금천구 한내로 69-54,1990,840,54437.0,89.3,10.7,0.0,0.0,37.4601188,126.8865685
청실아파트,서울특별시 구로구 경인로40길 25,1987,156,14898.0,0.0,100.0,0.0,0.0,37.4954923,126.8597726
마곡중앙하이츠아파트,서울특별시 강서구 양천로6길 28,1994,930,65845.0,100.0,0.0,0.0,0.0,37.5697906,126.80664
목동1단지,서울특별시 양천구 목동서로 38,1985,1882,219212.0,12.8,26.7,51.6,8.9,37.5392044,126.880561
방학신동아3단지,서울특별시 도봉구 방학로15길 26-7,1992,210,23132.0,0.0,100.0,0.0,0.0,37.6602606,127.0232617
고덕현대아파트,서울특별시 강동구 동남로71길 41,1986,524,73374.0,0.0,31.3,68.7,0.0,37.5505067,127.1535479
하계삼익선경,서울특별시 노원구 노원로 214,1993,396,67222.0,0.0,0.0,100.0,0.0,37.6390508,127.076932
한남하이츠,서울특별시 성동구 독서당로 156,1982,535,75886.0,0.0,0.0,46.5,53.5,37.539745,127.0141559
중계건영2차,서울특별시 노원구 덕릉로 517,1991,742,73398.0,0.0,100.0,0.0,0.0,37.6474564,127.0666719
상계미도,서울특별시 노원구 덕릉로 459-18,1988,600,76110.0,0.0,0.0,100.0,0.0,37.6461776,127.0610376
수유극동아파트,서울특별시 강북구 인수봉로72길 4,1992,574,66879.0,0.0,85.4,9.8,4.9,37.6419306,127.0121448
방학청구,서울특별시 도봉구 해등로 264,1994,978,105166.0,0.0,100.0,0.0,0.0,37.6580542,127.0262264
방학우성1차,서울특별시 도봉구 해등로 286-5,1992,658,73801.0,17.0,83.0,0.0,0.0,37.6579642,127.0238773
청담건영아파트,서울특별시 강남구 도산대로89길 49,1994,240,30509.0,0.0,100.0,0.0,0.0,37.5274224,127.0523705
목동2단지,서울특별시 양천구 목동서로 70,1986,1640,207571.0,0.0,24.4,64.0,11.6,37.5374403,126.8762201
상계주공3단지,서울특별시 노원구 동일로 1389,1987,2213,186785.0,58.7,41.3,0.0,0.0,37.651102,127.0568216
상도삼호,서울특별시 동작구 상도로 407,1994,682,81197.0,32.4,37.7,29.9,0.0,37.5012043,126.9509806
등촌우성101동,서울특별시 강서구 화곡로68길 115,1992,134,12916.0,6.0,94.0,0.0,0.0,37.5573574,126.8603664
등촌우성102동,서울특별시 강서구 화곡로68길 103,1992,110,13159.0,0.0,100.0,0.0,0.0,37.5576039,126.8599261
하계한신동성,서울특별시 노원구 한글비석로 151,1993,498,84705.0,0.0,0.0,55.0,45.0,37.6398137,127.0755733
수서1-1단지아파트,서울특별시 강남구 양재대로55길 10,1992,2214,170989.0,100.0,0.0,0.0,0.0,37.4927536,127.0909823
신동아아파트,서울특별시 서초구 사임당로 137,1978,997,113858.0,0.0,26.1,60.3,13.6,37.4904484,127.024545
명수대현대아파트,서울특별시 동작구 현충로 119,1988,660,91430.0,0.0,50.0,40.9,9.1,37.5079377,126.9667533
방화동성아파트,서울특별시 강서구 금낭화로23길 8,1993,686,65560.0,0.0,100.0,0.0,0.0,37.5796258,126.8119701
하계한신,서울특별시 노원구 공릉로 351,1988,1200,55504.0,100.0,0.0,0.0,0.0,37.6377945,127.068697
개포한신,서울특별시 강남구 개포로110길 43,1984,364,42315.0,0.0,36.8,63.2,0.0,37.4911612,127.0786887
방배신삼호,서울특별시 서초구 방배로 270,1983,481,85111.0,0.0,0.0,24.3,75.7,37.4971521,126.9897344
관악국제산장,서울특별시 관악구 호암로 417,1993,630,72052.0,19.0,81.0,0.0,0.0,37.4612442,126.9280602
길동삼익파크,서울특별시 강동구 명일로 293,1982,1092,102794.0,17.6,46.2,25.3,11.0,37.5448343,127.1476738
목동10단지,서울특별시 양천구 목동서로 400,1987,2160,236932.0,26.4,27.0,42.6,3.9,37.5165011,126.8587497
연희대림아파트,서울특별시 서대문구 연희로32길 20,1993,220,27331.0,0.0,63.6,36.4,0.0,37.5754721,126.9362953
벽산1,서울특별시 도봉구 방학로11길 36,1991,489,40700.0,30.5,69.5,0.0,0.0,37.6600699,127.0317182
창신쌍용아파트2단지,서울특별시 종로구 낙산길 198,1993,919,97541.0,17.0,61.7,21.3,0.0,37.5806115,127.0117627
도곡한신,서울특별시 강남구 논현로 205,1988,421,46484.0,15.4,63.2,21.4,0.0,37.4878586,127.0402373
미아현대,서울특별시 강북구 도봉로68길 26,1992,231,25200.0,0.0,100.0,0.0,0.0,37.6307852,127.0258094
중계주공1단지,서울특별시 노원구 동일로210길 22,1990,882,37153.0,100.0,0.0,0.0,0.0,37.6478396,127.0658713
중계주공9단지,서울특별시 노원구 노원로16길 15,1992,2634,119061.0,100.0,0.0,0.0,0.0,37.6430931,127.0742657
서울우면,서울특별시 서초구 바우뫼로7길 11,1994,984,43895.0,100.0,0.0,0.0,0.0,37.4701978,127.0242323
대방주공1단지,서울특별시 동작구 여의대방로44길 47,1993,925,45044.0,100.0,0.0,0.0,0.0,37.5108249,126.9300624
등촌주공4단지,서울특별시 강서구 공항대로39길 59,1995,1575,65238.0,100.0,0.0,0.0,0.0,37.5621004,126.8430032
등촌주공7단지,서울특별시 강서구 공항대로43길 104,1994,1146,49597.0,100.0,0.0,0.0,0.0,37.5605474,126.851713
등촌주공9단지,서울특별시 강서구 화곡로63가길 92,1994,1445,66043.0,100.0,0.0,0.0,0.0,37.5616596,126.849539
가양7단지,서울특별시 강서구 허준로 209,1992,1998,83872.0,100.0,0.0,0.0,0.0,37.5621998,126.8616635
등촌주공6단지,서울특별시 강서구 화곡로63가길 18,1995,559,34120.0,100.0,0.0,0.0,0.0,37.5594739,126.8484236
신림주공1단지,서울특별시 관악구 광신길 160,1995,960,60799.0,100.0,0.0,0.0,0.0,37.4658557,126.9275015
개포7차우성,서울특별시 강남구 개포로110길 15,1987,802,88378.0,0.0,100.0,0.0,0.0,37.4922905,127.0783361
목동6단지,서울특별시 양천구 목동동로 430,1986,1362,142544.0,43.6,17.6,31.7,7.0,37.5350632,126.8850851
신림현대,서울특별시 관악구 신림로29길 8,1993,1634,171854.0,43.1,20.2,36.7,0.0,37.4749367,126.9323775
서울주택도시공사 수서6단지,서울특별시 강남구 광평로56길 11,1992,1512,62909.0,100.0,0.0,0.0,0.0,37.487264,127.1045185
홍은동미성아파트,서울특별시 서대문구 연희로41길 102,1985,300,36311.0,0.0,68.0,32.0,0.0,37.5938186,126.935449
개포주공4단지,,1982,2840,125214.0,100.0,0.0,0.0,0.0,37.4863102,127.0731699
서초삼풍,서울특별시 서초구 서초중앙로 200,1988,2390,368535.0,0.0,43.9,30.4,25.7,37.4991876,127.0160708
월계사슴1단지,서울특별시 노원구 월계로 372,1995,1372,58984.0,100.0,0.0,0.0,0.0,37.6300507,127.0605132
면목,서울특별시 중랑구 용마산로 228,1991,905,44092.0,100.0,0.0,0.0,0.0,37.5918939,127.0878438
중계4단지목화,서울특별시 노원구 노원로19길 31,1991,1979,226394.0,100.0,0.0,0.0,0.0,37.6435986,127.0696523
도곡쌍용예가,서울특별시 강남구 남부순환로363길 30,1978,132,77270.0,0.0,9.1,63.6,27.3,37.4870576,127.0390313
중계현대3차,서울특별시 노원구 중계로 172-13,1992,130,14529.0,0.0,100.0,0.0,0.0,37.6503905,127.0817573
둔촌현대3차,서울특별시 강동구 진황도로 211,1988,160,15398.0,4.4,95.6,0.0,0.0,37.5272306,127.1452461
래미안대치하이스턴,서울특별시 강남구 도곡로93길 12,1989,354,69009.0,0.0,0.0,100.0,0.0,37.5011653,127.0656002
청담래미안로이뷰,서울특별시 강남구 영동대로142길 16,1992,177,36358.0,0.0,0.0,100.0,0.0,37.5179279,127.0428004
